A100000000001123456789000000000000123&OF1.31&                                                  
B110000000002         99999999       99999999                                          ~9~            ~9~                                                                                                                                                                            +00000000000000+00000011292110+0000000000000000000000000001      +00000000000000                   
C100000000015         40000110000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000017310+00000000000000+000000000017310+000000000002942+000000000020252+0000000000099999999                 0202509131      1        0000013             
C100000000016         33000108000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000035945+00000000000000+000000000035945+000000000006110+000000000042055+0000000000099999999                 0202509131      1        0000014             
C100000000017         30500111000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000059426+00000000000000+000000000059426+000000000010102+000000000069528+0000000000099999999                 0202509131      1        0000015             
C100000000018         30500109000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000015269+00000000000000+000000000015269+000000000002595+000000000017864+0000000000099999999                 0202509131      1        0000016             
C100000000019         40000111000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000017869+00000000000000+000000000017869+000000000003037+000000000020906+0000000000099999999                 0202509131      1        0000017             
C100000000020         40000109000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000015499+00000000000000+000000000015499+000000000002634+000000000018133+0000000000099999999                 0202509131      1        0000018             
C100000000021         30500108000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000030536+00000000000000+000000000030536+000000000005191+000000000035727+0000000000099999999                 0202509131      1        0000019             
C100000000022         30500115000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000068836+00000000000000+000000000068836+000000000011702+000000000080538+0000000000099999999                 0202509131      1        0000020             
C100000000023         30500112000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000025048+00000000000000+000000000025048+000000000004258+000000000029306+0000000000099999999                 0202509131      1        0000021             
C100000000024         40000108000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000080819+00000000000000+000000000080819+000000000013739+000000000094558+0000000000099999999                 0202509131      1        0000022             
C100000000025         40000115000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000092307+00000000000000+000000000092307+000000000015692+000000000107999+0000000000099999999                 0202509131      1        0000023             
C100000000026         40000112000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000003573+00000000000000+000000000003573+000000000000607+000000000004180+0000000000099999999                 0202509131      1        0000024             
C100000000027         40000113000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000055792+00000000000000+000000000055792+000000000009484+000000000065276+0000000000099999999                 0202509131      1        0000025             
C100000000028         40000114000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000073523+00000000000000+000000000073523+000000000012498+000000000086021+0000000000099999999                 0202509131      1        0000026             
C100000000029         40000110000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000036964+00000000000000+000000000036964+000000000006283+000000000043247+0000000000099999999                 0202509131      1        0000027             
C100000000030         33000108000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000099988+00000000000000+000000000099988+000000000016997+000000000116985+0000000000099999999                 0202509131      1        0000028             
C100000000031         30500111000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000043750+00000000000000+000000000043750+000000000007437+000000000051187+0000000000099999999                 0202509131      1        0000029             
C100000000032         30500109000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000070511+00000000000000+000000000070511+000000000011986+000000000082497+0000000000099999999                 0202509131      1        0000030             
C100000000033         40000111000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000007322+00000000000000+000000000007322+000000000001244+000000000008566+0000000000099999999                 0202509131      1        0000031             
C100000000034         40000109000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000085124+00000000000000+000000000085124+000000000014471+000000000099595+0000000000099999999                 0202509131      1        0000032             
C100000000035         30500108000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000076195+00000000000000+000000000076195+000000000012953+000000000089148+0000000000099999999                 0202509131      1        0000033             
C100000000036         30500115000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000038653+00000000000000+000000000038653+000000000006571+000000000045224+0000000000099999999                 0202509131      1        0000034             
C100000000037         30500112000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000069709+00000000000000+000000000069709+000000000011850+000000000081559+0000000000099999999                 0202509131      1        0000035             
C100000000038         40000108000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000003677+00000000000000+000000000003677+000000000000625+000000000004302+0000000000099999999                 0202509131      1        0000036             
C100000000039         40000115000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000007098+00000000000000+000000000007098+000000000001206+000000000008304+0000000000099999999                 0202509131      1        0000037             
C100000000040         40000112000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000091684+00000000000000+000000000091684+000000000015586+000000000107270+0000000000099999999                 0202509131      1        0000038             
C100000000041         40000113000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000083486+00000000000000+000000000083486+000000000014192+000000000097678+0000000000099999999                 0202509131      1        0000039             
C100000000042         40000114000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000036840+00000000000000+000000000036840+000000000006262+000000000043102+0000000000099999999                 0202509131      1        0000040             
C100000000043         40000110000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000079565+00000000000000+000000000079565+000000000013526+000000000093091+0000000000099999999                 0202509131      1        0000041             
C100000000044         33000108000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000086902+00000000000000+000000000086902+000000000014773+000000000101675+0000000000099999999                 0202509131      1        0000042             
C100000000045         30500111000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000003705+00000000000000+000000000003705+000000000000629+000000000004334+0000000000099999999                 0202509131      1        0000043             
C100000000046         30500109000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000049289+00000000000000+000000000049289+000000000008379+000000000057668+0000000000099999999                 0202509131      1        0000044             
C100000000047         40000111000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000071350+00000000000000+000000000071350+000000000012129+000000000083479+0000000000099999999                 0202509131      1        0000045             
C100000000048         40000109000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000051676+00000000000000+000000000051676+000000000008784+000000000060460+0000000000099999999                 0202509131      1        0000046             
C100000000049         30500108000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000037103+00000000000000+000000000037103+000000000006307+000000000043410+0000000000099999999                 0202509131      1        0000047             
C100000000050         30500115000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000055012+00000000000000+000000000055012+000000000009352+000000000064364+0000000000099999999                 0202509131      1        0000048             
C100000000051         30500112000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000058052+00000000000000+000000000058052+000000000009868+000000000067920+0000000000099999999                 0202509131      1        0000049             
C100000000052         40000108000001000000   20250912181899999999                                                                                                                                                                                            00000000020250913+00000000000000   +000000000054841+00000000000000+000000000054841+000000000009322+000000000064163+0000000000099999999                 0202509131      1        0000050             
Z900000000053123456789000000000000123&OF1.31&000000000000053                                                  
